text,rating,label_name,vehicle
I have been a Toyota owner for years and a Toyota mechanic but when I needed a new car I thought I would try my first Nissan. It was a mistake. To compare the design quality of a similar Toyota such as a Corolla to a Sentra is like comparing night and day. Here are some examples. The trunk on a Sentra is much smaller than a Corolla. Additional Sentra problems that Corolla does not have: engine performance-poor. Cruise control is too fast and the trans immediately kicks down. Fuel economy is no where near the 40 MPG other reviews have stated. I get about 28 MPG. Radio sounds bad. CD player is a joke. Who ever designed the cup holder should be bared from auto design for life. I could go on.,2,negative,2005 Nissan Sentra Sedan 1.8 S 4dr Sedan (1.8L 4cyl 5M)
"I traded a 2006 4 Runner for the Rav4, and I was impressed with the room. Although a bit smaller, the gas savings and navigating in traffic, the Rav4 is worth it. If you have a big family think a larger vehicle, but for two or a young family (or retiree like me) this is just the answer. Go the extra mile and get the Convenience Package it makes driving much more enjoyable. After driving it for over 6 months, I wish It would have power seats. The XLE has most everything else, but is uncomfortable on longer trips.Added at a later date:After 7 months I traded the Rav4 in for Chevrolet. The lack of power seats was the deciding factor. A few squeaks and rattles began to appear, and the design lost it's appeal {although I never did care for the overall look of the vehicle}.",2,negative,2015 Toyota RAV4 SUV XLE 4dr SUV (2.5L 4cyl 6A)
Nissan Rogue 2009 it vibrates on reverse. Going 40 it has a whistle sound . The seats in the back make noise going backwards you can see there is blank spots that your can't see,2,negative,2009 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT)
"But I can't. We have owned the car since January and have already experienced a major malfunction to the front camera safety system (needed to be replaced over two days) and now something really grating on me (so much so that we are taking a loss and returning it given how much highway driving I do): the regenerative braking (motor?) SQUEAL that occurs ONLY between about 50 and 65 mph at low volumes when the brakes are not applied and high volume when brakes are applied. I complained and the dealer took me out in the ALE Hybrid and I heard the same noise but MUCH quieter. It is best likened to a loud squeal that I get is the regeneration braking in the electric motor but really should it be so noticeable that it feels like nails on a chalkboard? So, I want to love this car but I can't. This problem was acknowledged by the dealer but Toyota itself is telling me this is normal even though the head of the dealer's service department who has worked on hybrids for 20 years thinks it is too loud to be considered normal (he considers the ALE noise more reasonable). I have seen this mentioned in a few places as asides in the forums but while I get that it may be normal why do I NOT hear it in my friends' Prius? Or a Highlander or Camry hybrid? Since Toyota is considering this normal, I had no recourse but to live with it and hope some day they address it (I have case numbers all over the place) or sell it and move on from the RAVs and Toyota forever in disappointment. The bump of the battery and the fact that the seats do not fold back flat has also become a drain on cargo space, especially the dog crate which no longer fits. Mileage has been awesome. Comfort and road noise seem the SAME as my previous RAVs (but may also have to do with the Limited's 18"" wheels). In general, if you can live with the noise, go for it but I would not say the car offers any value and personally wish I waited to see what they address if these issues if any in 2017.",2,negative,2016 Toyota RAV4 Hybrid SUV Limited 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT)
"Seriously?I have never blown a head gasket on 5 other vehicles that I have taken over 250KKM., two past 400What modern car maker can fail to prevent such a potentially serious design flaw or to correct it once it becomes generally known?The old style school of denial just does not work in the internet age.Fool me once, shame on me... anything but a Nissan the next time.",2,negative,2005 Nissan Sentra Sedan 1.8 4dr Sedan (1.8L 4cyl 4A)
"do not buy 2017 toyota tacoma. severe shaking, transmission is all over the place. they acknowledge the shaking but say its normal. NOT! As for trans. they cant replicate it so( the end.) They will not do anything about it. This is the worst experience buying a new vehical. Especially since so expensive an now im stuck with it.",1,negative,2017 Toyota Tacoma Double Cab SR 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A)
"Purchased at 18 sold at 19 years old. Toyota needs to learn a lot from these trucks. Underpowered gas hog comes to mind. Dash rattles and poor dealer service are the norm. Truck is overpriced and overated. Constant small ""non toyota-like"" problems occur. Water gets in lamps and windows. Fix your mistakes Toyota.",2,negative,2001 Toyota Tacoma Xtracab 2dr Xtracab V6 4WD SB (3.4L 6cyl 5M)
"We bought a NEW Nissan Quest in 2008. When we first bought we enjoyed every aspect of it. About a month later the problems began. The windows would whistle as we picked up speed (dealership claimed it was normal), we had some problems with ac not working properly (dealership fixed), and then a few years later the cheap car starts having more and more issues. The passengers side mirror cover on the visor falls off, the body rattles, the passengers side window motor quit working, the brake disks warped and had to be replaced, you so much as sneeze on the thing and the paint will scratch or the body dents. Features are nice but van is built too cheap. Cant wait to get rid of it!!",2,negative,2008 Nissan Quest Minivan 3.5 4dr Minivan (3.5L 6cyl 5A)
"Got rid of a 98 Jetta VR6 because I was having a ton of problems with it. I figured you can't go wrong with a Nissan. I was completely wrong. So far, the car has left me stranded 8 times. Sometimes, out of no where, the car just wont start. It gets towed back to the dealership, they don't know what's wrong with it, then they try to charge me for the tow because they cant find the problem. Crank position sensor replaced twice, radio melts cd's, almost starts a fire. New radio stops working after 2 months. Everytime someone gets in the passenger seat and pulls the door shut, the door handle comes off in their hand. Terrible gas milage, 5-8mpg under stated #'s",2,negative,2002 Nissan Sentra SE-R SE-R 4dr Sedan (2.5L 4cyl 5M)
"I would not suggest an FJ cruiser for anyone who intends on driving it in weather that is less than 30 degrees F. Which is not very cold at all, many places in the world get much colder. My FJ has a serious problem with ice. At a mere 27 degrees F the entire tank holding all of the windshield wiper fluid has turned to slush. I have anti- freeze in there rated up to -50 degrees F. It does not matter, the way that the tank is positioned inside the motor is poorly engineered so that the wind blows up against it causing things to freeze up more easily than any other car I have ever owned.",2,negative,2008 Toyota FJ Cruiser SUV 4dr SUV 4WD (4.0L 6cyl 5A)
